fixture,baseline_input_tokens,baseline_cache_creation_input_tokens,baseline_cache_read_input_tokens,baseline_output_tokens,baseline_all_reported_tokens,baseline_cost_usd,baseline_duration_ms,baseline_turns,mcp_input_tokens,mcp_cache_creation_input_tokens,mcp_cache_read_input_tokens,mcp_output_tokens,mcp_all_reported_tokens,mcp_cost_usd,mcp_duration_ms,mcp_turns
101,166,296602,14634795,204393,15135956,15.394688500,3211731,104,178,267447,18134076,162538,18564239,15.810391000,2635577,106
102,194,257248,15965012,166261,16388715,14.713097000,2691940,109,170,231831,14312993,135273,14680267,12.862024500,2349030,102
103,166,313990,15808228,204387,16326771,16.155135000,2989512,109,185,353515,22291963,229730,22875393,20.429847500,3511857,104
104,149,265439,12012659,178336,12456583,13.120480500,2771311,99,104,141518,7349470,82178,7573270,7.149424000,1332759,58
105,130,311642,12533629,206273,13051674,14.541325500,3005324,83,136,274668,15003869,203951,15482624,15.352606500,2995557,74
106,154,303399,13359607,199885,13863045,14.712304500,2895263,92,126,244855,10802923,155138,11203042,11.733634500,2331996,78
107,148,236031,10494341,149493,10880013,11.346161500,2471767,93,156,191334,12710868,113874,13016232,11.120945000,1768043,88
108,131,195753,7395782,113284,7704950,8.488792000,1987656,87,115,143914,7857881,83562,8085472,7.462248500,1375197,69
109,3875,134017,4602549,74995,4815436,5.536310500,1297941,63,165,222192,13950588,103895,14276840,11.799950000,1856117,88
110,200,346275,19126882,244517,19717874,19.140732000,3764085,112,140,275061,15200102,177708,15653011,14.798602000,2558102,86
111,214,295056,20530416,185647,21011333,17.858629000,3589277,137,142,225896,11845706,125225,12196969,11.317689000,2040321,83
112,136,274921,12267937,178275,12721269,13.341349500,2781084,87,86,185450,7587484,108895,7881915,8.375586000,1684260,60
113,159,309732,14544574,194804,15049269,15.241118000,2971577,108,159,239143,13707635,124723,14071660,12.368658500,1957817,101
114,123,210815,8370993,135879,8717810,9.691852500,1952065,73,102,205990,9004495,129745,9340332,9.810821500,1789989,62
115,152,255545,10494906,159037,10909640,11.780204000,2446641,92,113,182273,9450361,113185,9745932,9.382643500,1752957,72
116,139,312107,12847031,198936,13358213,14.519296500,3056830,104,120,189560,9872690,111251,10173621,9.618361000,1670870,70
118,205,302694,19320449,175322,19798670,17.071855500,2877083,123,92,137772,6004942,79519,6222325,6.373169000,1287163,53
119,1012,284481,13383659,169992,13839144,13.792115500,2677169,102,113,161717,8011137,86717,8259684,7.795771500,1369547,61
120,152,214281,10878658,129722,11222813,10.826565000,2362558,88,81,125331,5132132,63168,5320712,5.403520000,1078769,47
121,241,422392,28465334,266266,29154233,25.115058000,4090691,142,174,267574,17103937,172900,17544585,15.555619500,2625614,96
122,127,177889,7106062,98243,7382321,7.789247000,1734000,70,111,185825,8519516,112761,8818213,8.942127000,1628939,64
123,218,311768,18054332,187498,18553816,16.834002000,3098015,139,162,219304,15733167,129589,16082222,13.304699500,2026094,97
124,171,214809,11348971,134573,11698524,11.188371500,2262173,95,168,226389,15133991,138513,15499061,13.299103500,2128504,97
125,144,292078,13045881,203152,13541255,14.523856500,3076006,90,96,156388,6859918,96633,7113035,7.414683000,1535036,53
126,3189,271168,11364509,169835,11808701,12.656370500,2870736,101,159,199252,13834080,126352,14159843,12.073696000,2137123,86
127,183,230783,13099368,134777,13465111,12.228470000,2505749,110,155,208103,14481206,117086,14806550,12.254099000,2299728,89
128,2173,119440,3096540,68046,3286199,4.455301000,1164579,50,71,109257,4075580,54423,4239331,4.495823000,828960,40
129,146,326789,13041925,221826,13590686,15.335848500,3361299,94,106,154650,7371206,73964,7599926,7.086274000,1206106,67
131,203,226775,14176698,134965,14538641,12.731855000,2577205,116,246,286906,25918560,163145,26368857,19.912738000,2772870,140
133,161,402414,18359777,284248,19046600,20.311649500,4293595,112,220,314104,25525150,187365,26026839,20.555669250,3059769,121
134,131,263973,10524716,170883,10959703,12.175434000,2691986,93,153,220005,13397276,141781,13759215,12.257887750,2281627,85
135,138,360244,14799184,279438,15439004,17.989288000,3847103,87,126,315136,13804112,203958,14323332,15.157549000,3012202,74
136,352,397437,39080747,197186,39675722,28.446769500,3644468,221,77,96463,4212830,42357,4351727,4.080498500,754971,43
137,196,353237,19696870,248949,20299252,19.606126000,3743610,121,96,177749,7723779,111344,8012968,8.428000500,1677729,55
139,3330,355038,18347519,229431,18935318,18.477180500,3482011,108,158,287856,16533318,162327,16983659,15.208729000,2590573,94
141,121,231548,8897820,128309,9257798,9.973336000,2067967,82,201,275149,23131742,174442,23581534,18.683967000,2948773,112
142,120,285900,11445362,193529,11924911,13.421122000,2949519,80,155,245745,15028661,140628,15415189,13.492806500,2297999,87
143,266,244538,19515388,130318,19890510,15.462970000,2566955,151,165,176263,12041288,85958,12303674,9.937590000,1535779,99
145,3618,347968,21090669,214013,21656268,19.394045500,3869874,140,149,220370,11920694,133914,12275127,11.517185000,2411313,84
146,116,326311,11142797,242955,11712179,14.909579500,3614590,84,134,266800,13028559,162848,13458341,13.258700500,2431703,81
147,170,228806,11810768,169165,12208909,12.424035000,2988905,101,169,246859,15968718,165234,16380980,14.589187000,2617910,98
148,173,411911,21972425,278040,22662549,22.057803500,4468853,116,193,307708,22527215,212670,23047786,19.662947500,3272043,107
149,214,390459,26306212,217936,26914821,22.507782000,3541319,142,1971,285906,19466999,189548,19944424,17.345657500,2818109,109
201,102,127262,5136163,86394,5349921,6.001735500,4086588,63,160,152238,5716784,98365,5967547,6.845119000,1776722,52
204,108,113786,4456436,74782,4645112,5.236873000,1374082,63,54,110165,2953435,60260,3123914,4.089586500,1114831,39
205,912,60842,1501608,33131,1596493,2.192769000,767402,35,1124,76597,2701517,35436,2814674,3.012675500,747910,40
206,58,45964,1367142,28169,1441333,1.848391000,799436,31,47,48861,1901175,18017,1968100,1.894276500,1127591,34
207,59,58236,1520399,30110,1608804,2.096317500,963528,42,49,85364,2494704,34594,2614711,2.970554000,968987,35
208,54,64830,1505998,42179,1613061,2.456731000,1048829,37,1108,71952,1730629,31054,1834743,2.371149500,760360,30
209,37,40174,800515,21334,862060,1.336216500,421254,28,70,128623,4204636,85974,4419303,5.542670000,1337872,38
211,62,40259,1325890,18590,1384801,1.531276000,588207,41,25,39413,922125,11587,973150,1.149406500,485604,21
212,52,42122,1105599,18638,1166411,1.440949500,546068,27,36,52812,1479061,21336,1553245,1.805698500,653127,27
214,67,54880,1825538,32173,1912658,2.266887000,988616,46,44,77447,1873462,37159,1988112,2.644787000,808965,32
215,48,46131,1211060,19002,1276241,1.542824000,558034,32,2170,49127,1259259,15192,1325748,1.515992500,391387,27
217,68,65185,1922309,30841,2018403,2.385040500,861848,47,1139,135929,4602297,69560,4808925,5.409537500,1723877,54
218,1142,69514,2393123,37576,2501355,2.837468500,874333,48,57,72814,2496926,31210,2601007,2.761539000,510619,31
224,98,64768,2893707,39084,2997657,3.072784500,852161,52,51,64203,2063609,27049,2154912,2.354697500,440520,28
229,56,75539,1687783,43536,1806914,2.688620500,799006,36,2164,65168,1251922,29688,1348942,2.035073000,514185,25
230,34,46112,750372,23640,820158,1.428168000,439167,25,1115,77645,2295878,42762,2417400,3.003464000,724359,33
231,100,87699,3516658,57352,3661809,4.070283000,1087150,53,52,91088,2727696,50245,2869081,3.535509000,754229,37
238,60,61594,1560358,36326,1658338,2.305246000,1058242,40,1110,65544,1837228,31324,1935206,2.367125000,1080082,32
241,474,481821,44631471,351587,45465353,35.926667500,6760435,171,669,93458,1578260,71619,1744006,3.521951000,1025223,27
242,79,68150,2345141,41563,2454933,2.894217500,1435087,50,29,39303,1061183,16174,1116689,1.332536500,905015,21
243,136,109932,5544633,73387,5728088,5.707667500,2427909,84,21,52749,795153,26382,874305,1.589166500,447496,17
244,199,266361,15464090,186393,15917043,15.057147000,4379611,130,1135,121893,3942097,86351,4151476,5.358848500,1379677,43
246,1163,82348,3169312,51761,3304584,3.708636000,1369868,57,30,62783,1291780,25880,1380473,1.925274000,618572,22
247,88,79880,2718562,52711,2851241,3.476950000,1697622,55,68,108896,3875954,62158,4047076,4.585625000,1634025,45
248,111,148859,5926532,73969,6149471,6.302302000,1918414,76,99,132834,6277437,78831,6489201,6.442758500,2015752,58
249,229,242296,19172039,165988,19580552,16.160500500,4658069,135,1292,343019,31164673,262123,31771107,25.576470500,5648719,124
250,64,90369,2314531,34933,2439897,2.935267500,980308,41,92,114687,5461194,55892,5631865,5.279659000,1500334,58
